age,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag,location_encoded,occupation_encoded,days_since_recent_trade,time_between_account_open_and_trade,credit_history_length
56,40099,424.0,108,1,10,3.139571892877356,0,18209.38313592161,4324.930673,424.0,2,3,1,1,0,0,1,0.2548476454293629,0.25620655412115195,268,119,2004
69,2050,483.0,0,0,1,1.017488807907175,0,33673.69650382912,21726.59391588883,483.0,2,3,0,1,0,0,0,0.28593272171253825,0.2660098522167488,307,504,326
46,71936,566.0,0,0,1,1.5086258177093483,0,101918.17420194212,63930.10225451282,566.0,0,2,0,0,0,0,0,0.26436781609195403,0.2660098522167488,58,1544,160
32,15833,491.5130369236225,97,1,5,2.9951498518514263,0,9055.101658652206,3033.4037415672315,491.5130369236225,1,4,0,1,1,0,0,0.2411674347158218,0.2669649515287099,47,62,396
60,8574,787.0,0,0,1,1.1823796693164983,0,91682.85204,77457.38701642072,787.0,0,0,1,0,1,0,0,0.2411674347158218,0.2217573221757322,89,37,664
25,59349,688.0,0,0,1,1.1211958904555102,1,91705.65064837413,78392.24518677974,688.0,0,0,0,0,1,0,0,0.25770308123249297,0.25620655412115195,256,744,1948
38,6925,740.0,0,0,1,1.6596310732496211,0,29940.71406937852,24486.0934988142,740.0,0,0,0,0,1,0,0,0.2548476454293629,0.2669649515287099,331,70,674
56,25139,563.0,0,0,1,0.8765796560005229,0,56872.14948368606,33638.20819360806,563.0,1,2,0,1,0,0,0,0.24617524339360222,0.26944757609921083,375,1118,436
36,6197,758.0,22,0,1,1.008079800940948,0,60627.640485901225,50566.24896907005,758.0,0,3,0,0,1,0,1,0.2548476454293629,0.25905511811023624,59,753,800
40,4262,518.0,100,1,3,1.941141723751627,0,28726.579655516136,6100.624274746838,518.0,2,3,1,0,0,0,1,0.2851123595505618,0.2669649515287099,236,1134,1759
28,10495,692.0,0,0,1,1.3881667900882932,0,101381.53464146062,76615.51935132778,692.0,0,4,0,0,0,1,1,0.2649930264993027,0.23138297872340424,256,1440,1716
28,15932,791.0,0,0,1,2.0919430566698822,0,47774.68272615085,39534.30511841324,791.0,0,0,1,0,0,0,0,0.28593272171253825,0.27217125382262997,91,1746,3168
41,46654,458.0,0,0,1,0.9022116018318465,0,67595.24603017399,64187.48323,458.0,1,3,1,0,0,0,0,0.28593272171253825,0.2217573221757322,171,-108,1341
70,5870,574.0,1,1,1,1.1677102202202745,0,85745.75535825967,56829.25293397416,574.0,1,1,0,0,1,0,1,0.2548476454293629,0.25905511811023624,363,1321,2519
53,27455,470.0,105,0,8,0.8228179946998444,0,1719.8478539487814,807.6961255272341,470.0,2,4,1,1,0,0,0,0.2411674347158218,0.26944757609921083,71,551,945
57,5682,687.0,0,0,1,1.1324628889335884,0,12080.68040022866,8971.746586479798,687.0,0,0,0,0,0,0,0,0.2411674347158218,0.2669649515287099,244,1528,1674
41,58901,557.0,110,1,2,1.518563181276302,1,6177.967069205917,2131.9421300135814,557.0,2,1,1,1,1,0,0,0.24617524339360222,0.25620655412115195,263,597,10
20,16310,422.0,1,0,1,1.4042336980174843,0,64434.60915863755,51612.806450768825,422.0,2,4,1,1,0,0,0,0.2649930264993027,0.26944757609921083,70,326,1248
39,3454,604.0,0,0,1,1.150563872809241,0,33348.172918228614,21576.869292499887,604.0,0,0,0,0,0,0,0,0.28593272171253825,0.26944757609921083,202,816,807
70,9162,545.0,0,0,1,1.465333761869385,0,73440.95380112891,50198.42742647606,545.0,0,1,0,0,0,0,0,0.24617524339360222,0.25905511811023624,59,717,1840
19,91104,677.0,0,0,1,0.981162353,0,47392.87627298361,33638.20819360806,677.0,0,4,0,0,1,0,1,0.2411674347158218,0.28083989501312334,341,-15,2144
41,72993,672.0,39,0,2,1.1690718471151806,0,50485.28776076917,33638.20819360806,672.0,0,0,1,0,0,0,0,0.24617524339360222,0.24472573839662448,54,1282,3406
61,7423,714.0,10,0,1,1.820369111711364,0,58055.27182977438,46396.82483941655,714.0,0,0,0,0,1,0,0,0.2649930264993027,0.25905511811023624,303,298,3316
47,2123,702.5354130659232,0,0,1,0.7912015919130382,0,73608.55673,33638.20819360806,702.5354130659232,0,0,0,0,1,0,0,0.2411674347158218,0.25905511811023624,343,997,1728
55,35967,393.0,97,1,5,2.9682369333244942,1,11614.97305998898,3538.799918,393.0,1,3,0,0,1,0,0,0.24653739612188366,0.25620655412115195,302,438,1559
19,18274,610.0,0,0,1,2.2092664269802693,0,56178.33053107093,54674.20375427779,610.0,0,0,0,0,1,0,0,0.2411674347158218,0.2617283950617284,233,1232,-40
38,19858,582.0,0,0,1,1.247786815229074,1,23343.269760188126,21732.645765229565,582.0,1,2,0,1,0,1,0,0.26436781609195403,0.26944757609921083,165,1576,1088
50,5109,465.0,101,1,4,2.4738492232772185,0,12486.241849963348,5151.425469746378,465.0,2,4,0,0,1,0,0,0.28593272171253825,0.25905511811023624,362,415,2754
29,36972,714.0,0,0,1,0.8684515701880975,0,79132.17883506001,55529.29579416335,714.0,0,0,0,0,1,0,0,0.2649930264993027,0.25620655412115195,386,720,1669
39,66881,570.0,56,0,1,0.9305577811065742,0,19548.235739704807,33638.20819360806,570.0,1,2,0,0,0,0,0,0.2649930264993027,0.28083989501312334,268,1459,2296
61,16904,501.0,0,0,1,1.2042911217713268,0,72187.65645271851,55024.90266863853,501.0,1,2,0,0,0,0,0,0.26406926406926406,0.27217125382262997,175,-93,3076
42,35762,488.0,0,0,1,1.933065208356704,0,87309.03954608427,50756.37389700769,488.0,2,3,0,0,0,1,0,0.26436781609195403,0.25620655412115195,366,1484,2303
66,13697,747.0,1,0,1,1.361047350961681,0,57269.66661236736,33638.20819360806,747.0,0,4,0,0,0,1,1,0.25770308123249297,0.2617283950617284,244,349,2598
44,31500,310.0,90,0,6,1.977127872887385,0,8177.832046403366,1791.0041396202394,310.0,2,4,1,0,1,0,1,0.2411674347158218,0.26944757609921083,264,1492,1027
59,29161,651.0,0,0,1,1.758605848052553,0,93261.06400950217,57494.12906,651.0,0,0,0,0,0,0,0,0.26406926406926406,0.26944757609921083,158,890,997
45,23444,772.0,28,0,1,1.0571474034766686,0,54848.98659910446,40397.044367275135,772.0,0,0,0,0,0,0,0,0.2548476454293629,0.26944757609921083,54,1768,3451
33,5795,713.0,0,0,1,0.9380343607079332,0,37506.4044337829,32534.9285,713.0,0,0,0,0,0,0,0,0.2649930264993027,0.2669649515287099,64,409,3550
32,36305,588.0,0,1,1,1.5288678061853014,0,83803.62389945083,62200.47069580791,588.0,1,1,0,0,0,0,0,0.2649930264993027,0.25620655412115195,75,742,1821
